show_id,cast_id
s381,1525.0
s381,1526.0
s381,1527.0
s381,1528.0
s381,1529.0
s381,1530.0
s381,1531.0
s381,1532.0
s381,1533.0
s381,1534.0
s381,1535.0
s384,933.0
s384,823.0
s384,1536.0
s384,1537.0
s384,916.0
s384,1538.0
s384,1539.0
s384,1540.0
s384,1541.0
s390,1542.0
s390,1543.0
s390,1544.0
s390,1545.0
s390,1546.0
s393,1492.0
s393,1547.0
s393,1262.0
s393,1548.0
s393,441.0
s393,1549.0
s393,1550.0
s393,1551.0
s393,1552.0
s393,1553.0
s393,1554.0
s393,1555.0
s393,1556.0
s393,1557.0
s393,1558.0
s393,1559.0
s394,1560.0
s394,1561.0
s394,1562.0
s394,1563.0
s394,1564.0
s394,1565.0
s394,1566.0
s394,1567.0
s394,1568.0
s394,1569.0
s394,1570.0
s403,1571.0
s403,984.0
s403,1572.0
s403,1573.0
s403,1574.0
s403,1575.0
s403,1576.0
s403,1577.0
s403,1578.0
s403,1579.0
s403,1580.0
s403,1581.0
s403,1582.0
s411,1583.0
s411,1584.0
s411,1585.0
s411,1586.0
s411,1587.0
s411,1588.0
s411,1589.0
s416,1583.0
s416,1584.0
s416,1585.0
s416,1586.0
s416,1587.0
s416,1590.0
s416,1591.0
s427,1592.0
s427,1593.0
s427,1594.0
s427,1595.0
s427,1596.0
s427,1597.0
s427,1598.0
s427,1599.0
s430,229.0
s430,1600.0
s430,837.0
s430,1601.0
s430,1602.0
s430,1603.0
s430,1604.0
s430,1605.0
s430,1606.0
s430,1607.0
s430,1608.0
s430,1609.0
s434,1610.0
s434,1611.0
s434,1612.0
s434,1613.0
s434,1614.0
s437,1615.0
s437,1616.0
s437,1617.0
s437,1618.0
s437,1619.0
s437,1620.0
s437,1621.0
s437,1622.0
s437,1623.0
s437,1624.0
s437,1625.0
s437,1626.0
s437,1627.0
s438,1628.0
s438,451.0
s438,1629.0
s438,1630.0
s438,1631.0
s438,1632.0
s438,1633.0
s438,1634.0
s438,1635.0
s438,1636.0
s438,1637.0
s438,1638.0
s440,1639.0
s440,1640.0
s440,1641.0
s440,1642.0
s440,1643.0
s440,1644.0
s440,1645.0
s440,1646.0
s440,1647.0
s440,1648.0
s446,1649.0
s446,400.0
s446,1650.0
s446,1651.0
s446,1652.0
s446,1653.0
s446,1654.0
s446,1655.0
s447,1656.0
s447,1657.0
s447,1658.0
s447,708.0
s447,1659.0
s447,1660.0
